text,level
" 황상은 강진 고을 아전의 자식이었다. 서울에서 온 훌륭한 선생님이 아전의 아이들 몇을 가르친다는 말을 듣고 용기를 내어 주막집을 찾았다. 그렇게 며칠을 내처 찾아가 쭈뼛쭈뼛 엉거주춤 글을 배웠다. 7일째 되던 날 다산은 수업을 마친 황상을 따로 불러 앉혀 놓고 말했다.
 “공부를 열심히 해서 훌륭한 사람이 되어야지.”
 “하지만 선생님! 저는 머리도 나쁘고, 앞뒤가 꼭 막혔고, 분별력도 모자랍니다. 저도 공부할 수 있을까요?“
 잔뜩 주눅 든 소년에게 다산은 기를 복돋워 준다.
 “그럼 할 수 있고말고. 항상 문제는 제가 민첩하다고 생각하고, 총명하다고 생각하는 데서 생긴단다. 한 번만 보면 척척 외우는 아이들은 그 뜻을 깊이 음미할 줄 모르니 금세 잊고 말지. 제목만 주면 글을 지어 내는 사람들은 똑똑하다고는 할 수 있지만, 저도 모르게 경박하고 들뜨게 되는 것이 문제다. 한마디만 던져 주면 금세 말귀를 알아듣는 사람들은 곱씹지 않으므로 깊이가 없지. 너처럼 둔한 아이가 꾸준히 노력한다면 얼마나 대단하겠니? 둔한 끝으로 구멍을 뚫기는 힘들어도 일단 뚫고 나면 웬만해서는 막히지 않는 큰 구멍이 뚫릴 거다. 꼭 막혔다가 뻥 뚫리면 거칠 것이 없겠지. 미욱한 것을 닦고 또 닦으면 마침내 그 광채가 눈부시게 될 것이야. 그러자면 어떻게 해야 하겠니? 첫째도 부지런함이요, 둘째도 부지런함이며, 셋째도 부지런함이 있을 뿐이다. 너는 평생 ‘부지런함’이란 글자를 절대 잊지 말도록 해라. 어떻게 하면 부지런할 수 있을까? 네 마음을 다잡아서 딴 데로 달아나지 않도록 꼭 붙들어 매야지. 그렇게 할 수 있겠니?”
 황상은 스승의 이 가르침을 평생을 두고 잊지 않았다. ",2
"다산은 강진에서 19년에 걸친 긴 귀양살이를 마치고 서울로 올라갔다. 1818년 8월 그믐날, 다산은 강진을 떠나면서 제자들과의 작별이 못내 아쉬워 다신계(茶信契)를 결성했다. 그 후로도 제자들은 해마다 힘을 합쳐 차를 따서 서울에 계신 스승에게 부쳐 드리곤 했다. 하지만 스승을 잃은 다산초당(茶山草堂)은 점차 황폐해져 갔던 듯하다. 황상은 스승의 체취가 못 견디게 그리우면 문득 다산초당을 찾아 한참을 머물다 가곤 했다. 이미 황폐해질 대로 황폐해진 초당의 옛터를 서성이며 스승이 손수 파서 새긴 정석(丁石)이란 두 글자를 어루만지다가, 스승이 일군 대숲과 연못을 보며 지난날의 맑은 풍정을 그리워했다. 그러면서 스승이 계시던 옛터를 백 년도 지키지 못하는 자신의 무능을 서글퍼했다.
 그러던 그가 다산이 강진을 떠난 18년 후 1836년 2월 무슨 느낌이 있었던지 두릉 땅으로 다산을 찾아뵈었다. 스승 내외의 회혼례(回婚禮)를 축하드리고, 살아 계실 때 한 번만이라도 얼굴을 뵙자는 생각이었다.
 이때 다산은 병세가 위중해 잔치를 치를 수도 없는 상황이었다. 처음 만났을 때 열다섯 소년이었던 제자는 쉰을 눈앞에 둔 중늙은이가 되어 죽음을 앞둔 스승께 절을 올렸다. 곁에서 며칠 머물며 옛날이야기를 나누다 고향으로 돌아갈 것을 아뢰었을 때, 다산은 정신이 혼미한 중에도 그의 마디 굵은 손을 붙들고 작별을 아쉬워했다. 그냥 보내기 안타깝다며 접부채와 운서(韻書), 피리와 먹을 선물로 주었다. 스승과 제자가 헤어지는 장면은 생각만 해도 그저 가슴이 먹먹해져 온다.
 그렇게 헤어진 뒤 며칠이 안 되어 다산은 세상을 떴다. 황상은 도중에 스승의 부고를 듣고, 그 길로 되돌아와 스승의 영전에 곡을 하고 상복을 입은 채로 고향으로 돌아갔다.",2
"황상은 스승의 10주기를 맞아 다시 두릉을 찾았다. 다산의 아들 정학연(丁學淵)은 10년 만에 기별도 없이 불쑥 나타난 황상을 보고 신을 거꾸로 신고 마당으로 뛰어 내려왔다. 황상은 이제 예순을 눈앞에 둔 늙은이였다. 꼬박 18일을 걸어와 스승의 묘 앞에 섰다. 검게 그을린 얼굴에 부르튼 발을 보고 학연은 아버지 제자의 손을 붙들고 감격해 울었다. 그의 손에는 그 옛날 스승이 주었던 부채가 들려 있었다.
 아들은 아버지가 그립고 제자의 두터운 뜻이 고마워, 늙어 떨리는 손으로 아버지의 부채 위에 시를 써 주었다. 그러고는 정 씨와 황 씨 두 집안 간에 계를 맺어, 이제부터 자손 대대로 오늘의 이 아름다운 만남을 기억할 것을 다짐했다. 그 〈정황계안(丁黃契案)〉은 황상의 문집에 실려 있다. 황상과 정학연, 정학유 형제의 아들과 손자의 이름과 자, 생년월일을 차례로 적은 뒤, 끝에다 이렇게 썼다.

 이것은 우리 두 집안 노인의 성명과 자손의 이름을 적은 것이다. 정학연은 침침한 눈으로 천 리 먼 길에 써서 보낸다. 두 집안의 후손들은 대대로 신의를 맺고 우의를 다져갈진저. 계를 맺은 문서를 제군들에게 돌리노니 삼가 잃어버리지 말라.
이 해가 1848년이니 이때 정학연은 예순여섯, 황상은 예순하나였다. 그 옛날 더벅머리 소년에게 던져 준, 오로지 부지런하면 된다던 스승의 따스한 가르침은 이렇게 한 사람의 인생을 근본적으로 뒤바꾸어 놓았다.",2
"독도는 겉으로 보기에는 매우 작지만, 수면 위로 드러난 면적보다 물 아래 잠겨있는 면적이 훨씬 넓은 지형이다. 그리고 독도는 수면 위에서 얻을 수 있는 자원보다 그 주변의 바다에 묻혀 있는 자원이 훨씬 더 무궁무진하다. 풍족한 어족 자원을 비롯한 희귀 동식물, 최근 주목받고 있는 해양 심층수, 활용도가 높은 인산염 광물 등은 매우 가치 있는 자원이다. 심지어 독도 주변의 미생물까지도 식품, 공업, 의학 등 다양한 분야에서 활용될 것으로 기대하고 있다. 그중에서도 가장 관심을 끄는 것이 바로 메탄 하이드레이트(methane hydrate)다. 메탄 하이드레이트는 얼음 상태이지만, 불을 붙이면 얼음이 녹고 그 안에 있는 메탄이 연소하면서 활활 타오른다. 마치 드라이아이스와 비슷한 모습이라서 일명 ‘불타는 얼음’으로 불리기도 한다. 메탄 하이드레이트는 셰일 가스와 더불어 석유와 천연가스를 대체할 미래의 에너지 자원으로 꼽히고 있다. 현재 울릉도와 독도 주변의 동해에는 많은 양의 메탄 하이드레이트가 매장되어 있는 것으로 추정된다.",2
"저작권은 저자의 권익을 보호함으로써 활발한 저작 활동을 촉 진하여 인류의 문화 발전에 기여하기 위한 것이다. 그러나 이렇 게 공적 이익을 추구하기 위한 저작권이 현실에서는 일반적으로 지나치게 사적 재산권을 행사하는 도구로 인식되고 있다. 저작 물 이용자들의 권리를 보호하기 위해 마련한, 공익적 성격의 법 조항도 법적 분쟁에서는 항상 사적 재산권의 논리에 밀려왔다. 저작권 소유자 중심의 저작권 논리는 실제로 저작권이 담당해 야 할 사회적 공유를 통한 문화 발전을 방해한다. 몇 해 전의 ‘애국가 저작권’에 대한 논란은 이러한 문제를 단적으로 보여 준 다. 저자 사후 50년 동안 적용되는 국내 저작권법에 따라, 애국가가 포함된 <한국 환상곡> 의 저작권이 작곡가 안익태의 유족 들에게 2015년까지 주어진다는 사실이 언론을 통해 알려진 것이 다. 누구나 자유롭게 이용할 수 있는 국가(國歌)마저 공공재가 아닌 개인 소유라는 사실에 많은 사람들이 놀랐다. 창작은 백지 상태에서 완전히 새로운 것을 만드는 것이 아니 라, 저작자와 인류가 쌓은 지식 간의 상호 작용을 통해 이루어진다. “내가 남들보다 조금 더 멀리 보고 있다면, 이는 내가 거 인의 어깨 위에 올라서 있는 난쟁이이기 때문”이라는 뉴턴의 겸 손은 바로 이를 말한다. 이렇듯 창작자의 저작물은 인류의 지적 자원에서 영감을 얻은 결과이다. 그러한 저작물을 다시 인류에 게 되돌려주는 데 저작권의 의의가 있다. 이러한 생각은 이미 1960년대 프랑스 철학자들에 의해 형성되었다. 예컨대 기호학자 인 바르트는 ‘저자의 죽음’을 거론하면서 저자가 만들어 내는 텍스트는 단지 인용의 조합일 뿐 어디에도 ‘오리지널’은 존재하지 않는다고 단언한다. 전자 복제 기술의 발전과 디지털 혁명은 정보나 자료의 공유 가 지니는 의의를 잘 보여 주고 있다. 인터넷과 같은 매체 환경의 변화는 원본을 무한히 복제하고 자유롭게 이용함으로써 누구 나 창작의 주체로서 새로운 문화 창조에 기여할 수 있도록 돕는 다. 인터넷 환경에서 이용자는 저작물을 자유롭게 교환할 뿐 아니라 수많은 사람들과 생각을 나눔으로써 새로운 창작물을 생산하고 있다. 이러한 상황은 저작권을 사적 재산권의 측면에서보다는 공익적 측면에서 바라볼 필요가 있음을 보여 준다.",2
"우리나라는 2000년부터 본격적으로 동해 탐사에 노력을 기울인 결과, 수심 1,000미터가 넘는 동해 해저에 메탄 하이드레이트가 존재할 가능성을 확인하였다. 2004년부터 메탄 하이드레이트 개발 종합 계획을 수립하고 탐사에 박차를 가한 결과, 2005년 6월에 울릉도에서 남쪽으로 100킬로미터가량 떨어진 지점의 해저에서 약 6억 톤가량의 메탄 하이드레이트를 발견해 세계의 이목을 집중시켰다. 6억 톤의 메탄 하이드레이트는 천연가스로 환산하면 약 150조 원에 육박하는 가치가 있으며, 우리나라에서 약 30년 동안 사용할 수 있는 양이다.
 2007년 6월에는 독도 주변 바다에서 우리나라 최초로 메탄 하이드레이트를 채취했다. 겉보기에는 드라이아이스와 흡사한 메탄 하이드레이트에 불을 붙이자 활활 타올랐다. 하지만 메탄 하이드레이트를 실생활에서 연료로 사용하려면 아직도 갈 길이 멀다. 우선 수심이 깊고 물살이 센 동해에 안정적으로 시추관을 설치하고 메탄 하이드레이트를 채굴할 수 있는 기술 개발이 이루어져야 한다. 또 육지에서 200킬로미터 이상 떨어져 있는 독도에서 채취한 메탄 하이드레이트를 육지까지 운반하는 일이 쉽지 않아, 애초 2015년부터 상용화하려 했던 목표를 미루고 있다.
 에너지 자원의 자급률이 매우 낮은 우리나라는 해양 자원이 곧 미래라고 할 수 있다.",2
,
,
,
,
