text,level
"“엄마! 나 하는 것 보았어요?”
현이는 나를 보자마자 그것부터 물었다. 이럴 때, 보았다고 해야 할지 못 보았다고 해야 할지, 얼른 생각이 나지 않아 망설이다가,
“응, 현이가 어느 쪽에 앉아 있었지?”
나는 대답 대신 이렇게 물었다. 혹시 못 보았다는 것을 알아 채고 실망을 하는 게 아닌가 눈치를 살폈는데, 현이는 의외로 밝은 얼굴을 하며,
“둘째 줄 끝 쪽에 앉아 있었어요.” 하더니,
“엄마, 그럼 나 못 보았지? 아유, 난 내 뒤에 있던 참새가 앞으로 나가면서 건드리는 바람에 모자가 벗겨져서, 그것 을 엄마가 보았으면 어떻게 하나 하고 얼마나 걱정을 했 는지 몰라. 금방 집어 썼는데, 엄마 못 봤지?”
이렇게 말하는 것이 아닌가? 나는 현이의 이 말에 또 한 번 마음 속으로 놀랐다. 그리고 미안한 생각이 들었다. 비록 눈에 잘 안 띄는 풀잎 역을 하였지만, 현이는 자기의 역할에 충실했으며, 엄마가 자기를 꼭 보아 주리라는 확신 때문에 더욱 열심히 연기를 하였고, 오히려 자기의 실수를 엄마가 보았을까 걱정을 했던 것이다.",1
"읽기는 ‘글쓴이와 읽는 이의  생각과  느낌의  만남’이라고 한다. 이 말속에서 우리는 ‘어떻게 읽을 것인가’에 대한 대답을 찾아볼 수 있다. 그 답은 바로 글쓴이의 생각을 파악하고, 동시에 읽는 이의 생각과 느낌을 적극적으로 활용하는 것이다. 이 말을 좀 더 쉽게 풀어서 설명해 보자.
첫째로, 글을 잘 읽기 위해서는 글쓴이의 생각을 제대로 파악해야 한다. 이를 위해서 우선 글 내용을 정확히 파악해야 한다. 글 속에 담긴 중심 내용과 세부 내용을 구분하고, 이런 내용들이 어떻게 조직되어 있는지를 파악해야 하는 것이다. 다음으로, 글쓴이의 글쓰기 의도나 목적도 파악해야 한다.
몇 가지 예를 살펴보자. 의학이나 법률, 또는 과학 서적과 같이 정보성이 강한 글은 글 속에 제시된 정보를 정확히 파악하고 해석하면서 읽는 것이 좋다. 설득하는 성격이 강한 광고문이나 주장하는 글은 그 속에 담긴 정보와 의도를 파악하고, 이를 비판적으로 받아들여야 한다. 그리고 정서적인 글은 그 안에 담긴 가치와 감동을 하며 읽으려고 노력해야 한다.
둘째로, 글을 잘 읽기 위해서는 읽는 이 스스로 자기의 지식과 경험을 되돌아보고, 이를 능동적이고 적극적으로 활용해야 한다. 읽는 이는 글쓴이가 언급하지 않고 남겨 둔 내용까지 추리하고 상상하며 읽어야 한다. 경우에 따라서는 자기 생각으로 글쓴이의 생각을 비판하고 대안도 제시할 수 있어야 한다.
배경지식을 적극적으로 동원하는 것이 글 읽기에 도움이 된다는 것은 여러 가지 일상의 경험으로 충분히 확인할 수 있다.",1
"그러면 고흥댁은 정말 헷갈리기 시작하는 것이다. 아까 까지만 해도 김포에서 적어도 30 원은 싸게 샀다고 자부한 판인데 잠깐 사이에 형제에서는 50 원이나 싸게 팔고 있다니, 어느 쪽으로 가야 이익일지 계산하기가 썩 어렵 잖은가 말이다. 그러잖아도 지난번에 형제 슈퍼에서 산 비누를 물리고 그 즉시로 김포 슈퍼에서 싼 값으로 비누를 샀다고 해서 동네 여자들 구설수에 올라 있는 고흥댁 이었다. 한 마디로 너무 노골적이라는 비난이었는데, 그깟 몇십 원 때문에 당장 산 물건을 되물리는 법이 어디 있느냐는 거였다. 이쪽 저쪽을 다니더라도 좀 눈치껏 하지 않고 너무 표나게 굴었던 까닭이었다.",1
"“그 꽃은 어디서 났니? 퍽 곱구나.”
하고 어머니가 말씀하셨습니다. 그러나 나는 갑자기 말문이 막혔습니다. ‘이걸 엄마 드리려고 유치원서 가져왔어.’ 하고 말하기가 어째 몹시 부끄러운 생각이 들었습니다. 그래 잠깐 망설이다가
“응, 이 꽃! 저, 사랑 아저씨가 엄마 갖다 주라고 줘.” 하고 불쑥 말했습니다. 그런 거짓말이 어디서 그렇게 툭 튀어나왔는지 나도 모르지요.
꽃을 들고 냄새를 맡고 있던 어머니는 내 말이 끝나기가 무섭게 몹시 놀란 사람처럼 화닥닥하였습니다. 그러고는 금시에 어머니 얼굴이 그 꽃보다 더 빨갛게 되었습니다. 그 꽃을 든 어머니 손가락이 파르르 떠는 것을 나는 보았 습니다.",1
"그의 아내가 기침으로 쿨룩거리기는 벌써 달포가 넘었다. 조밥도 굶기를 먹다시피 하는 형편이니 물론 약 한 첩 써 본 일이 없다. 구태여 쓰려면 못 쓸 바도 아니로되, 그는 병이란 놈에게 약을 주어 보내면 재미를 붙여서 자꾸 온다는 자기의 신조에 어디까지 충실하였다. 따라서, 의사 에게 보인 적이 없으니 무슨 병인지는 알 수 없으나, 반듯이 누워 가지고 일어나기는 새로에 모로도 못 눕는 걸 보면 중증은 중증인 듯, 병이 이대도록 심해지기는 열흘 전에 조밥을 먹고 체한 때문이다.",1
"그리하여 토끼는 다시 별주부의 등에 올라앉아 너른 바닷물을 건너 육지에 이르렀다. 별주부가 토끼를 내려 놓으니, 토끼는 기쁨에 겨워 노래하되,
“이는 진실로 그물을 벗어난 새요, 함정에서 도망 나온 범이로다. 만일, 나의 묘한 꾀가 아니었더라면, 어찌 고향 산천을 다시 볼 수 있었으리오?”
하며 사방으로 팔짝팔짝 뛰놀았다.",1
"전통의 효도는 부모와 자식이 같은 공간, 같은 시 간대에 있어야만 가능한 가치 규범이다. 이러한 효 도는 주택, 직장, 맞벌이, 자녀 교육 등 현대사회의 여러 상황을 고려하지 않은 채 그저 ‘마음 편하게’만 을 강조한다. 이것은 노인에게 필요한 수많은 보호 프로그램의 하나인 ‘사랑의 보호’라는 한 종목에만 해당할 뿐이다.
전통적인 효도의 개념 때문에 적지 않은 노인들은 방안에 ‘수감’되는가 하면, 때론 원치 않는 손자까지 봐야 하는 지경에 처하기도 한다. 노인들의 이야기 를 들어보면, 실제로 그들은 손자를 뒷바라지하는 것을 즐기지 않는다. 많은 젊은이들은, 노인들이 손 자를 사랑한다고 생각하기 때문에 집에서 ‘노시면서’ 아이들을 봐 주시기를 희망한다. 때로는 이것을 효 도의 한 덕목으로 착각하는 경우도 있다. 손자를 안 겨 드렸다는 착각이다. 하지만, 노인들도 그들의 인 생이 있다. 그들도 부부끼리 즐기고 싶은 것들이 많 다. 효도가 이들의 마지막 인생을 무겁게 하고 있는 것은 아닐까?",1
"들판에 아지랑이가 한창 피어오를 무렵, 주로 물가에 피어나는 앵초는 주름진 잎새와 진분홍색의 작은 꽃송이들이 보는 이의 마음을 설레게 한다. 앵초는 이렇게 고운 모습을 하고서도 어린잎을 산나물로 내주고, 뿌리를 포함한 식물 전체가 기침, 천식, 기관지염, 종기 등에 약으로 쓰인다고 하니 참으로 기특한 식물이 아닐 수 없다.",1
"단재는 중국인 유병택이라는 가명으로 일본에서 이 위폐를 교환하려 하였으나 발각되어 대만 기륭항 에서 체포된다. 2년 동안의 재판을 통하여 단재는 징역 10년형을 선고받고 죄수번호 411번을 달고 여 순 감옥에 수감된다. 형기를 2년 정도 앞두고 병이 악화된 단재는 결국 1936년 2월 21일 뇌일혈로 순국 한다.
순국 이전에 병보석으로 감옥문을 나설 기회가 있었지만, 보증인이 친일파라는 이유로 단재는 거부하였다. 일제로부터 우리 민족이 압박과 설움을 받던 시기 동안, 수많은 애국 지사가 조국의 독립을 위하여 살다 갔다. 그러나 단재 선생처럼 이론과 실천 면 에서 투철했던 지사는 드물었으며 특히, 일제와의 비타협적인 투쟁을 몸소 실천하다 끝내 감옥에서 순 국한 선열은 더욱 드물다.",1
"“그건 안 되지, 남향으로 하면 돌집(조선 총독부 건물)을 바라보게 될 터이니, 차라리 여름에 덥고 겨울에 춥더라도 북향으로 해야지.” 하고 우겨서 북향으로 ‘심우장(尋牛莊)’을 지었다 한다. 그러나 설날이 되어도 갈아입을 새 옷이 없고, 불을 때지 못해 얼 음장 같은 냉돌 위에서 비참한 생활을 할 수밖에 없었다. 그러면서도 “나는 조선 사람이다. 왜놈이 통치하는 호적(戶籍)에 내 이름을 올릴 수 없다.”고 단호히 입적(入籍)을 거부하여, 모든 식량  배급(配給)은 물론, 법적으로 보호받지 못하였다.",1
