,sentence,lemmaCnt,conjuctions,lemmattr,lemmaMattr,lexicalDensityTokens,lexicalDensityTypes,contentTtr,functionTtr,nounTtr,verbTtr,adjTtr,advTtr,bigramLemmaTtr,trigramLemmaTtr,adjacent_sentence_overlap_all_lemmas,adjacent_sentence_overlap_all_lemmas_normed,binary_adjacent_sentence_overlap_all_lemmas,adjacent_two_sentence_overlap_all_lemmas,adjacent_two_sentence_overlap_all_lemmas_normed,binary_adjacent_two_sentence_overlap_all_lemmas,adjacent_sentence_overlap_content_lemmas,adjacent_sentence_overlap_content_lemmas_normed,binary_adjacent_sentence_overlap_content_lemmas,adjacent_two_sentence_overlap_content_lemmas,adjacent_two_sentence_overlap_content_lemmas_normed,binary_adjacent_two_sentence_overlap_content_lemmas,adjacent_sentence_overlap_function_lemmas,adjacent_sentence_overlap_function_lemmas_normed,binary_adjacent_sentence_overlap_function_lemmas,adjacent_two_sentence_overlap_function_lemmas,adjacent_two_sentence_overlap_function_lemmas_normed,binary_adjacent_two_sentence_overlap_function_lemmas,adjacent_sentence_overlap_noun_lemmas,adjacent_sentence_overlap_noun_lemmas_normed,binary_adjacent_sentence_overlap_noun_lemmas,adjacent_two_sentence_overlap_noun_lemmas,adjacent_two_sentence_overlap_noun_lemmas_normed,binary_adjacent_two_sentence_overlap_noun_lemmas,adjacent_sentence_overlap_verb_lemmas,adjacent_sentence_overlap_verb_lemmas_normed,binary_adjacent_sentence_overlap_verb_lemmas,adjacent_two_sentence_overlap_verb_lemmas,adjacent_two_sentence_overlap_verb_lemmas_normed,binary_adjacent_two_sentence_overlap_verb_lemmas,adjacent_sentence_overlap_adjective_lemmas,adjacent_sentence_overlap_adjective_lemmas_normed,binary_adjacent_sentence_overlap_adjective_lemmas,adjacent_two_sentence_overlap_adjective_lemmas,adjacent_two_sentence_overlap_adjective_lemmas_normed,binary_adjacent_two_sentence_overlap_adjective_lemmas,adjacent_sentence_overlap_adverb_lemmas,adjacent_sentence_overlap_adverb_lemmas_normed,binary_adjacent_sentence_overlap_adverb_lemmas,adjacent_two_sentence_overlap_adverb_lemmas,adjacent_two_sentence_overlap_adverb_lemmas_normed,binary_adjacent_two_sentence_overlap_adverb_lemmas
0,"우리나라의 쌀 소비량이 급격히 줄고 있다. 2008년에 한 사람이 먹은 쌀의 양은 평균 75.8 킬로그램으로 10년 전과 비교해 보면 23.4 킬로그램이나 줄었다. 그것은 먹을거리의 종류가 다양해지면서 쌀로 만든 음식 대신 다른 곡물로 만든 음식을 많이 먹기 때문이다.
이렇게 쌀 소비량이 계속 줄어들면 문제가 발생한다. 쌀을 소비하지 않으면 농가에서 벼농사를 짓지 않게 된다. 그러면 쌀이 부족하게 되어 다른 나라에서 수입해야 한다. 그러므로 우리는 쌀 소비량을 늘려야 한다.
쌀 소비량을 늘리기 위해서는 어떻게 해야 할까? 첫째, 우리 쌀이 건강에 좋은 점을 널리 알린다.
둘째, 가정이나 학교 식당에서 우리 쌀 위주의 식단을 짠다. 셋째, 우리 쌀로 새로운 음식을 개발한다.
넷째, 우리 쌀의 품질을 좀 더 높여야 한다.
다섯째, 우리 쌀을 외국에 수출할 수 있는 방법을 찾아야 한다.",109,1.0,0.7614678899082569,0.8866666666666667,0.24759615384615385,0.17307692307692307,0.6990291262135923,0.25,0.5094339622641509,0.7142857142857143,1.0,1.0,0.9814814814814815,1.0,0,0,7,30,6,6,21,7,7,15,6,6,25,7,7,13,6,5,18,7,7,13,6,6,13,7,5,9,6,3,2,2,0,1,1,0,1,1,0,0,0,0
0,"옛날 아이들은 윷놀이, 자치기, 팽이치기와 같은 전래 놀이를 하면서 친구들과 즐겁게 놀았다. 요즘 아이들은 주로 인터넷 게임을 하거나 텔레비전을 시청하며 여가를 보낸다. 전래 놀이는 여럿이 함께하는 놀이가 많아 친구를 사귈 기회를 더 많이 갖게 하고 건강한 몸을 유지하는 데 도움을 준다. 전래 놀이를 하면 다음과 같은 좋은 점이 있다.
첫째, 자연을 가까이 느낄 수 있다. 대부분의 전래 놀이는 바깥에서 한다. 그래서 풀, 바람, 나무, 흙, 돌, 햇빛 등 자연을 가까이 느낄 수 있다. 둘째, 공동체 의식을 기를 수 있다. 또래 아이들과 함께 윷놀이나 비사치기를 하면서 의논하고 힘을 모으기도 한다. 이러한 과정을 거치면서 아이들은 서로 돕고 위하는 태도를 배우게 된다. 셋째, 체력이 향상될 수 있다. 전래 놀이는 뛰거나 빠른 걸음으로 걷는 등 움직임이 많아서 따로 운동을 하지 않아도 운동 효과를 볼 수 있기 때문이다. 넷째, 놀이를 통해 지식을 얻을 수 있다. 자치기에 필요한 막대기를 고르면서 나무의 특성을 자연스럽게 알고, 연날리기를 하면서 바람을 이용하는 방법을 터득하게 된다. 다섯째, 조상들의 지혜를 알 수 있다. 우리 조상들은 언제 어디서나 누구든지 즐길 수 있는 다양한 놀이 방법을 만들어 냈다. 아이들은 전래 놀이를 하면서 지혜를 터득하게 된다. 이와 같이 전래 놀이를 하면 좋은 점이 많다. 우리 모두 전래 놀이에 관심을 가지고 즐겨 하자.",186,0.8888888888888888,0.6989247311827957,0.8652777777777778,0.26850507982583455,0.16110304789550073,0.6,0.14782608695652175,0.41361256544502617,0.6666666666666666,0.6363636363636364,0.8888888888888888,0.8972972972972973,0.9728260869565217,0,0,16,70,16,14,49,17,14,34,16,11,53,17,13,34,16,11,43,17,12,33,16,7,24,17,14,16,16,10,1,1,0,0,0,0,3,3,0,1,1,0
0,"태양광선은 가시광선, 적외선, 자외선 등 여러 가지 빛으로 이루어져 있다. 이 빛들은 각각 다른 특징을 가지고 있다.
가시광선은 우리가 눈으로 사물을 볼 수 있게 하는 빛이다. 가시광선의 일곱 빛깔은 우리가 사물의 색을 구별할 수 있게 해 준다. 또, 가시광선은 식물이 영양분을 만드는 광합성 작용을 돕는다. 가시광선이 인간과 식물에게 도움이 된다는 것이 흥미롭다.
적외선은 가시광선의 빨간빛 바깥쪽에 있는 빛이다. 적외선은 혈액 순환을 돕고 통증을 감소시키는 효과가 있기 때문에 병원에서 치료기에 이용된다. 이 밖에도 적외선은 야간 투시 촬영, 텔레비전 리모컨, 자동 경보기 등에 사용된다. 적외선이 우리 생활에 이용되는 사례를 더 조사해 보면 흥미로울 것 같다. 자외선은 가시광선의 보랏빛 바깥쪽에 있는 빛이다. 자외선은 살균 효과가 있다. 자외선의 이러한 성질을 이용하여 여러 가지 기구를 만든다. 자외선 살균 소독기는 병원의 의료 기구나 식당의 그릇을 소독하는 데 이용된다. 그런데 자외선에 지나치게 노출되면 화상을 입거나 피부염이 생긴다. 그래서 자외선이 강한 여름에는 자외선 차단제나 양산을 사용하는 것이 좋다.",138,1.0,0.7898550724637681,0.8957894736842106,0.2398042414355628,0.14192495921696574,0.5918367346938775,0.17346938775510204,0.4697986577181208,0.5151515151515151,1.0,1.0,0.9635036496350365,0.9926470588235294,0,0,13,49,12,12,31,13,12,20,12,10,44,13,12,29,12,11,31,13,13,25,12,10,13,10,8,7,7,4,1,1,0,0,0,0,0,0,0,0,0,0
0,"영희는 마을에서 인기가 많다. 사람들의 말을 잘 들어 주기 때문이다. 영희는 항상 화려한 차림으로 다닌다. 마을 사람들은 영희가 낡고 해진 옷을 입고 다녀도 좋아한다. 영희를 생각해 보니, 며칠 전 새 옷을 사달라고 떼를 쓴 내가 대견했다.",36,1.0,0.9166666666666666,-1.0,0.24489795918367346,0.19727891156462585,0.8055555555555556,0.4074074074074074,0.5428571428571428,0.9166666666666666,1.0,1.0,1.0,1.0,0,0,3,10,3,2,10,4,2,6,3,1,11,4,3,4,3,2,10,4,3,7,3,2,3,3,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0
0,"철수가 찬 공이 교문 근처의 수풀 쪽으로 굴러갔다. 승호는 숨을 헐떡이며 뛰어갔다. 그곳에서 승호는 어린 참새 한 마리가 걸음마 배우는 아기처럼 콩콩거리며 제자리에서 맴돌고 있는 것을 보았다. “얘들아, 여기에 아기 참새가 있어.” 아이들이 우르르 몰려왔다. “너무 어려서 아직 날지 못하는 것 같아. 어떻게 할까?” “우리가 교실에서 기르자.” 아이들은 조심스럽게 아기 참새를 교실로 데리고 왔다. 선생님께서는 아기 참새가 제 힘으로 날 수 있을 때까지 기르도록 허락해 주셨다. 승호는 상자를 가져오고, 정아는 풀을 뜯어 와 상자에 깔아서 아기 참새의 보금자리를 꾸몄다. 철수는 물과 잘게 부순 과자를 주었다. 아이들은 숨을 죽이며 아기 참새를 바라보았다. 그러나 아기 참새는 힘없이 콩콩콩 주위를 맴돌 뿐 먹이를 먹지 않았다. “얘, 짹짹콩콩아. 그렇게 콩콩거리지만 말고 어서 먹으라니까.” 정아가 안타까운 목소리로 말하였다. “짹짹콩콩이? 그 이름 참 좋다. 이제부터 넌 짹짹콩콩이야!” 아이들이 좋아하며 손뼉을 치자, 짹짹콩콩이는 몸을 움츠렸다. 마침 5교시를 알리는 종소리가 들렸다. 하지만 아이들은 책상으로 돌아가려고 하지 않았다. 공부 시간에도 아이들은 아기 참새가 들어 있는 상자 쪽으로 눈길을 돌리고는 했다. 승호는 집에 돌아가서도 아기 참새 생각뿐이었다. ‘짹짹콩콩이가 아무것도 먹지 않고 있으면 어쩌지? 교실에 쥐라도 들어오면…….’ 여러 생각이 떠오르자 승호는 교실로 뛰어갔다. 교실 문을 열자 정아가 짹짹콩콩이를 들여다보고 있었다. “너도 짹짹콩콩이가 걱정이 되어서 왔니?” 정아 손에는 먹이가 들려 있었다. 그때였다. 교실 문이 열리며 작은 담요를 든 철수가 급히 뛰어 들어왔다. “짹짹콩콩이가 추울까 봐…….” 아이들은 마주 보며 씨익 웃었다.",222,0.46153846153846156,0.7207207207207207,0.9029090909090909,0.25752508361204013,0.1505016722408027,0.5844155844155844,0.1656441717791411,0.3553299492385787,0.6483516483516484,0.9166666666666666,0.46153846153846156,0.9638009049773756,1.0,0,0,24,92,26,22,57,27,14,44,26,7,76,21,21,46,19,19,42,23,17,33,21,14,23,21,7,17,18,3,1,1,0,0,0,0,11,11,4,7,7,2
0,"우리나라 고인돌은 동북아시아 고인돌 문화를 대표한다. 그중에서도 제주도 고인돌은 초기 철기 시대의 고인돌보다 발전된 형태로서 우리나라의 다른 지역에서는 찾아볼 수 없는 형식이다. 그래서 전 세계가 그 문화적 가치에 주목하고 있다.
제주도 고인돌은 대부분 단독으로 자리한다. 비록 고인돌이 모여 있다고 할지라도 수십에서 수백 미터의 일정한 간격을 유지하고 있다. 전남 지방의 고인돌이 약 330제곱미터 안에 모두 모여 있는 모습과는 매우 대조적이다.
제주도 고인돌은 만드는 방식도 여간 독특하다. 바닥에 네 개의 기둥 돌을 놓고 그 위에 덮개돌을 얹어 만들었다. 그리고 덮개돌 윗면에는 여러 개의 홈을 파 놓았다. 이 홈은 다산과 풍요를 상징한다.
현재 제주도에 남아 있는 고인돌의 수는 120여 기이다. 제주도의 고인돌이 우리나라에서 가장 늦게까지 만들어졌음을 고려하면 남아 있는 수가 그리 많지 않은 편이다. 그 까닭은 제주도 고인돌의 재료가 현무암이라서 다른 지역의 고인돌에 비해 깨지기 쉽고, 고인돌이 있던 지역에 촌락이 생겨 많이 훼손되었기 때문이다. 세계적 문화유산으로 가치를 인정받는 제주도 고인돌을 보존하려는 노력이 필요하다.",138,1.0,0.8405797101449275,0.9424561403508771,0.2517241379310345,0.15689655172413794,0.6232876712328768,0.21212121212121213,0.5034965034965035,0.5365853658536586,0.75,1.0,0.9927007299270073,1.0,0,0,10,57,9,9,37,10,10,24,9,6,50,10,10,32,9,9,27,10,10,20,9,9,19,10,7,12,9,3,1,1,0,0,0,0,3,3,0,1,1,0
0,"나트륨은 식품에 들어 있는 소금의 주성분이다. 나트륨은 우리 몸에 필요한 영양소이지만 과다하게 섭취하면 생리적인 이상 현상을 일으킨다. 나트륨 섭취량을 줄여야 하는 이유와 그 방법을 알아보자.
우리나라 음식은 주로 소금으로 간을 하기 때문에 나트륨 섭취 가능성이 높다. 그렇다면 우리나라 청소년들은 얼마나 많은 양의 나트륨을 섭취하고 있을까? 우리나라 청소년들은 세계 보건 기구(WHO) 나트륨 섭취 권고량의 두 배 이상을 섭취하고 있다. 이렇게 과다하게 섭취하고 있는 나트륨을 줄여야 하는 이유는 무엇일까? 첫째, 나트륨을 많이 섭취하면 혈압이 높아질 수 있다. 나트륨이 혈관 속 혈액의 양을 증가시키기 때문이다. 둘째, 짠 음식을 먹어 나트륨이 몸속에 많아지면 몸이 붓는다. 나트륨이 든 짠 음식을 많이 먹으면 물을 많이 먹기 때문이다. 셋째, 지속해서 많은 양의 나트륨을 섭취하면 위장병을 일으킬 수 있다. 많이 섭취한 나트륨이 위벽을 자극하기 때문이다.
",116,0.5,0.646551724137931,0.8325,0.24031007751937986,0.12209302325581395,0.5080645161290323,0.1566265060240964,0.3983739837398374,0.4594594594594595,0.6363636363636364,0.5,0.8869565217391304,0.9824561403508771,0,0,11,49,10,10,33,11,11,19,10,10,43,11,11,30,10,10,22,11,11,16,10,10,17,10,9,8,8,6,4,4,0,1,1,0,2,2,0,0,0,0
0,"동요는 아이들의 정서를 담은 노래이다. 동요는 아름다운 가락과 노랫말을 사용하여 만들기 때문에 동요를 부르면 마음이 맑아지고 편안해진다. 그런데 요즘 아이들은 동요를 즐겨 부르지 않는 것 같다. 이를 지난달 ○○ 초등학교에서 열린 음악 축제에서도 확인할 수 있다.
이 축제에서 동요를 부른 학생은 열 명 가운데 한 명이었다. 아이들이 동요를 즐겨 부르지 않는 이유를 알아보고 해결 방법을 찾아보자.
아이들이 동요를 즐겨 부르지 않는 이유는 무엇일까? 먼저, 아이들이 동요를 접할 기회가 적다. 음악 시간 이외에는 동요를 부를 수 있는 시간이 별로 없다. 또한, 동요를 만드는 사람들이 요즘 아이들의 성향을 잘 반영하지 못하고 있다. 아이들은 빠른 리듬과 따라 부르기 쉬운 가락의 노래를 좋아한다. 끝으로, 아이들이 동요의 좋은 점을 잘 알지 못하고 있다. 아이 들은 동요 부르는 것을 수준이 낮고 시시한 것으로 생각한다. 아이들이 동요를 즐겨 부르게 하려면 어떻게 해야 할까? 첫째, 아이들에게 동요를 접할 기회를 많이 제공해야 한다. 학교에서는 등교 시간과 점심시간 등을 활용하여 동요를 들려주고, 동요 부르기 대회를 마련해야 한다. 둘째, 동요를 만드는 사람들은 아이들이 좋아하는 동요를 만들어야 한다. 아름다운 가락과 노랫말을 살리면서도 다양한 리듬을 동요에 반영해야 한다. 셋째, 동요의 중요성을 아이들에게 알려 주어야 한다. ‘동요 바로 알기’와 같은 캠페인을 벌여 동요가 아이들에게 유익하고 재미있다는 사실을 알게 해야 한다.",184,1.0,0.6630434782608695,0.8408823529411764,0.2382716049382716,0.11728395061728394,0.49222797927461137,0.14285714285714285,0.3076923076923077,0.5,0.8,1.0,0.9016393442622951,0.967032967032967,0,0,17,90,16,16,46,17,17,36,16,16,71,17,17,52,16,16,37,17,17,28,16,15,25,17,13,18,16,9,5,5,0,2,2,0,2,2,0,1,1,0
0,"세계 각국은 씨앗에 대한 소유권을 얻기 위해 경쟁하고 있다. ‘2010 나고야 의정서*’에 따르면, 2012년부터 씨앗 소유권이 없는 나라가 씨앗을 이용할 때는 소유권을 가진 나라의 승인을 받고, 대가를 지불해야 한다. 이 때문에 각 나라에서는 씨앗 소유권을 확보하는 일이 중요하게 되었다.
우리나라는 씨앗 소유권에 대한 인식이 부족하여 경제적으로 많은 손실을 보고 있다. ‘수수 꽃다리’, ‘나리’, ‘구상나무’ 등의 씨앗은 우리도 모르는 사이에 해외로 빠져나갔다. 이 씨앗들은 품종이 개량되어 비싼 값에 역수입되고 있다. 또한 우리는 우수한 품종의 씨앗을 사 오는 데 매년 많은 돈을 지불하고 있다. 그동안 씨앗을 개량하려는 노력이 부족하였기 때문이다.
지금부터라도 우리는 씨앗에 대한 소유권을 확보하기 위해 노력해야 한다. 그러면 씨앗의 소유권을 확보하기 위하여 어떻게 해야 할까? 첫째, 씨앗의 중요성을 인식하고 씨앗 소유권에 대해 관심을 가져야 한다. 둘째, 씨앗을 체계적으로 연구하는 기관을 많이 만들어야 한다. 셋째, 씨앗에 대한 기초 자료를 조사하고 수집해야 한다. 넷째, 재래종 씨앗을 보전하고 확보해야 한다. 다섯째, 우리 씨앗이 해외로 빠져나가는 것을 막기 위해 관리를 강화해야 한다.
예로부터 우리 조상들은 아무리 배가 고파도 씨앗으로 쓸 것은 먹지 않고 남겨 두었다. 그만큼 우리 조상들은 씨앗을 소중하게 여겼다. 앞으로 우리는 씨앗에 대한 소유권을 확보하기 위해 더 많은 노력을 기울여야 한다.",176,1.0,0.6761363636363636,0.89,0.21641791044776118,0.12189054726368159,0.5632183908045977,0.1349206349206349,0.38461538461538464,0.6046511627906976,0.7142857142857143,1.0,0.9142857142857143,0.9597701149425287,0,0,14,84,13,13,43,14,14,32,13,13,67,14,14,45,13,13,37,14,14,27,13,13,25,13,11,18,12,7,2,2,0,0,0,0,2,2,0,1,1,0
0,"어느 고을에 가난한 양반 형제가 살았다. 형은 과거에 급제하여 집안을 일으키려고 과거 공부에만 몰두하였다. 그에 비해 동생은 돈을 번 후 과거를 보기로 마음먹었다.
‘이러다가 당장 굶어 죽겠는걸. 주막이라도 차려 먼저 돈을 벌어야겠어. 여기서는 양반 체면이 서지 않으니 아는 사람이 없는 먼 곳으로 가야겠군.’
동생은 새벽에 마을을 빠져나와 낯선 곳에서 주막을 시작하였다.
5년이 지난 어느 날, 형은 동생의 소식이 궁금하여 동생을 찾아 나섰다. 어느 마을에 이르러 주막을 하는 동생을 보게 되었다. 형은 바쁘게 일하는 동생을 한참 바라보다가 밥 한 그릇을 시켜 맛있게 먹었다.
“밥값은 두 푼입니다. 형제간이라도 계산은 하셔야지요.”
동생은 떨리는 목소리로 형에게 밥값을 내라고 하였다. “이런 몹쓸 녀석 같으니라고,옜다!”
화가 난 형은 엽전 두 푼을 내던지고 돌아섰다. 그 모습을 보며 동생은 혼자 중얼거렸다. “멀리서 찾아온 형님에게까지 밥값을 받다니……. 하지만 형님에게 돈을 받지 않았더라면 내 결심이 흔들렸을 게야.”
동생의 마음을 알 리 없는 형은 힘없이 주막을 떠났다.
“아무리 그렇기로서니 나한테까지 돈을 받다니…….”
형은 다정했던 어린 시절의 동생 모습을 떠올리며 한숨을 내쉬었다. 그 후로 또 5년의 세월이 흘렀다.
 그러던 어느 날 형의 초가에 갓을 쓰고 비단옷을 입은 동생이 말을 타고 찾아왔다.
“형님, 저는 십 년간 한 푼 두 푼 돈을 모았습니다. 그래서 천 석지기 땅과 기와집을 마련하였습니다. 이제 저와 함께 마음 놓고 공부를 하시지요. 제가 돈만 모으는 사람이라면 한낱 모리배*에 지나지 않을 것입니다.”
형제는 함께 살면서 공부하여 과거에 급제하였다.",198,0.8,0.8131313131313131,0.9143749999999999,0.23191733639494833,0.14925373134328357,0.6435643564356436,0.2214765100671141,0.42777777777777776,0.7464788732394366,0.8125,0.8,0.9898477157360406,1.0,0,0,15,69,15,13,36,16,12,25,15,7,65,16,12,41,15,11,33,16,13,27,15,7,15,12,7,9,11,3,0,0,0,0,0,0,3,3,1,1,1,0
